,attributes,price,status,adress,lat,lon
136, 295 m² construidos | 3 recs. ,"11,050,000",Casa en venta , SAN JUAN PUERTO RICO - Residencial Zacatenco - Gustavo A. Madero - Distrito Federal ,19.5057482,-99.1271988
137, 590 m² construidos | 4 recs. ,"18,500,000",Casa en venta , insurgentes 1990 - Lindavista Norte - Gustavo A. Madero - Distrito Federal ,19.4988592,-99.1179317
138, 590 m² construidos | 4 recs. ,"18,500,000",Casa en venta , cali 00 - Lindavista - Gustavo A. Madero - Distrito Federal ,19.4866262,-99.1274673
139, 263 m² construidos | 4 recs. ,"4,950,000",Casa en venta , Villa Cuitlahuac 23 - Villa De Aragón - Gustavo A. Madero - Distrito Federal ,19.4677927,-99.0605356
140, 674 m² construidos | 4 recs. ,"13,500,000",Casa en venta , San Juan de Puerto Rico 1208 - Residencial Zacatenco - Gustavo A. Madero - Distrito Federal ,19.506025,-99.1274349
141, 300 m² construidos | 2 recs. ,"6,000,000",Casa en venta , Congreso de la Unión - Mártires De Río Blanco - Gustavo A. Madero - Distrito Federal ,19.459966,-99.1133325
142, 320 m² construidos | 3 recs. ,"2,285,564",Casa en venta , Gustavo A. Madero - Distrito Federal ,19.4873329,-99.1236134
143, 125 m² construidos | 3 recs. ,"2,600,000",Casa en venta , Calle 1505 50 - San Juan de Aragón VI Sección - Gustavo A. Madero - Distrito Federal ,19.4677367,-99.0703589
144, 171 m² construidos | 3 recs. ,"1,850,000",Casa en venta , Calle 637 70 - San Juan de Aragón V Sección - Gustavo A. Madero - Distrito Federal ,19.4547375,-99.0644779
145, 399 m² construidos | 10 recs. ,"7,800,000",Casa en venta , FRANCISCO TAMAGNO - Vallejo - Gustavo A. Madero - Distrito Federal ,19.4652202,-99.1332182
146, 370 m² construidos | 4 recs. ,"5,400,000",Casa en venta , Paranagua 217 - Lindavista - Gustavo A. Madero - Distrito Federal ,19.5087949,-99.1257137
147, 91 m² construidos | 3 recs. ,"3,600,000",Casa en venta , Avenida Acueducto - Residencial Zacatenco - Gustavo A. Madero - Distrito Federal ,19.5063144,-99.122174
148, 200 m² construidos | 3 recs. ,"4,000,000",Casa en venta , Estrella - Gustavo A. Madero - Distrito Federal ,19.4740421,-99.1165633
