,tiempo,nom_ent,mun,loc,ageb,mza,pobtot,p_0a2,p_60ymas,prom_hnv,graproes,graproes_f,pocupada,pocupada_f,pder_ss,vivtot,tvivhab,tvivpar,vivpar_hab,vivpar_ut,prom_ocup,vph_2ymasd,vph_autom,vph_pc,vph_inter,pct_0a2,pct_60,pct_wf,pct_t_inhab_hh,pct_privhh,pct_privhh_inhab,pct_hhtemp,pct_hh_car,pct_hh_pc,pct_hh_int
22,2010,Distrito Federal,5,1,0012,23,154,9.0,11.0,2.08,8.97,8.41,71.0,26.0,103.0,43,,,,,3.67,27.0,11.0,13.0,8.0,5.844155844155844,7.142857142857142,36.61971830985916,,,,,,,
23,2010,Distrito Federal,5,1,0012,24,106,8.0,12.0,2.05,8.92,8.49,35.0,15.0,73.0,30,,,,,3.68,17.0,11.0,11.0,6.0,7.547169811320755,11.320754716981133,42.857142857142854,,,,,,,
24,2010,Distrito Federal,5,1,0012,25,173,7.0,15.0,2.38,8.02,7.64,76.0,28.0,122.0,44,,,,,3.93,28.0,16.0,11.0,9.0,4.046242774566474,8.670520231213873,36.84210526315789,,,,,,,
25,2010,Distrito Federal,5,1,0012,26,104,3.0,12.0,3.05,7.34,7.38,43.0,16.0,66.0,26,,,,,4.0,13.0,7.0,7.0,5.0,2.8846153846153846,11.538461538461538,37.2093023255814,,,,,,,
26,2010,Distrito Federal,5,1,0012,32,203,14.0,12.0,2.18,8.41,8.26,83.0,25.0,153.0,42,,,,,4.83,24.0,13.0,9.0,7.0,6.896551724137931,5.911330049261084,30.120481927710845,,,,,,,
27,2010,Distrito Federal,5,1,0012,33,113,4.0,9.0,2.45,8.12,7.97,44.0,10.0,99.0,33,,,,,3.9,19.0,11.0,7.0,7.0,3.5398230088495577,7.964601769911504,22.727272727272727,,,,,,,
28,2010,Distrito Federal,5,1,0012,34,186,7.0,13.0,2.19,8.06,7.63,72.0,20.0,140.0,46,,,,,4.33,20.0,9.0,11.0,6.0,3.763440860215054,6.989247311827956,27.77777777777778,,,,,,,
29,2010,Distrito Federal,5,1,0012,35,75,3.0,5.0,2.09,8.12,7.83,31.0,13.0,49.0,18,,,,,4.41,10.0,6.0,4.0,3.0,4.0,6.666666666666667,41.935483870967744,,,,,,,
30,2010,Distrito Federal,5,1,0012,36,114,5.0,13.0,2.84,7.19,7.16,41.0,8.0,97.0,29,,,,,4.44,17.0,9.0,3.0,,4.385964912280701,11.403508771929824,19.51219512195122,,,,,,,
31,2010,Distrito Federal,5,1,0012,37,64,6.0,,2.7,6.87,6.65,20.0,3.0,45.0,18,,,,,3.56,8.0,5.0,,0.0,9.375,,15.0,,,,,,,
32,2010,Distrito Federal,5,1,0027,0,5407,259.0,512.0,2.25,8.7,8.51,2212.0,763.0,3510.0,1448,1385.0,1445.0,1382.0,5.0,3.9,817.0,449.0,399.0,273.0,4.790086924357315,9.469206584057703,34.49367088607595,95.64917127071824,99.79281767955801,99.78339350180505,0.3453038674033149,32.418772563176894,28.808664259927795,19.71119133574007
33,2010,Distrito Federal,5,1,0027,1,135,3.0,21.0,1.97,9.56,9.54,56.0,21.0,92.0,43,,,,,3.55,26.0,16.0,18.0,12.0,2.2222222222222223,15.555555555555555,37.5,,,,,,,
34,2010,Distrito Federal,5,1,0027,2,161,10.0,12.0,1.83,9.46,9.15,67.0,24.0,98.0,46,,,,,3.58,30.0,22.0,15.0,10.0,6.211180124223603,7.453416149068323,35.82089552238806,,,,,,,
35,2010,Distrito Federal,5,1,0027,3,182,8.0,16.0,1.93,8.66,8.85,68.0,22.0,112.0,51,,,,,3.64,22.0,13.0,12.0,6.0,4.395604395604396,8.791208791208792,32.35294117647059,,,,,,,
36,2010,Distrito Federal,5,1,0027,4,71,4.0,8.0,2.0,8.6,7.86,37.0,15.0,26.0,17,,,,,4.44,13.0,5.0,4.0,,5.633802816901409,11.267605633802818,40.54054054054054,,,,,,,
37,2010,Distrito Federal,5,1,0027,5,139,,16.0,2.6,8.63,8.55,64.0,18.0,77.0,37,,,,,3.76,24.0,11.0,8.0,5.0,,11.510791366906476,28.125,,,,,,,
38,2010,Distrito Federal,5,1,0027,6,159,7.0,15.0,1.93,8.78,8.75,63.0,19.0,113.0,44,,,,,3.7,25.0,18.0,16.0,10.0,4.40251572327044,9.433962264150944,30.158730158730158,,,,,,,
39,2010,Distrito Federal,5,1,0027,7,249,19.0,17.0,2.47,7.87,7.61,90.0,26.0,203.0,64,,,,,3.89,24.0,19.0,18.0,14.0,7.630522088353414,6.827309236947792,28.888888888888886,,,,,,,
