,Unnamed: 0,m2,State,Rooms,Price,Status,Adress,long,lat
23,23,130,construidos , 3 recs. ,"6,000,000",Casa en venta ," La Coruña , Alamos , Benito Juárez , Distrito Federal ",-99.14062580000001,19.4019126
24,24,124,construidos , 3 recs. ,"5,900,000",Casa en venta ," La Coruña , Alamos , Benito Juárez , Distrito Federal ",-99.14062580000001,19.4019126
25,25,124,construidos , 3 recs. ,"5,899,999",Casa en venta ," La Coruña , Alamos , Benito Juárez , Distrito Federal ",-99.14062580000001,19.4019126
26,26,124,construidos , 3 recs. ,"5,899,900",Casa en venta ," La Coruña , Alamos , Benito Juárez , Distrito Federal ",-99.14062580000001,19.4019126
27,27,124,construidos , 3 recs. ,"5,899,000",Casa en venta ," La Coruña , Alamos , Benito Juárez , Distrito Federal ",-99.14062580000001,19.4019126
28,28,300,construidos , 4 recs. ,"8,500,000",Casa en venta ," Venta Casa , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1514255,19.3865757
29,29,225,construidos , 3 recs. ,"9,000,000",Casa en venta ," Cda. Lopez Cotilla , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1657176,19.3835341
30,30,165,construidos , 3 recs. ,"6,070,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal ",-99.1844038,19.3808483
31,31,155,construidos , 3 recs. ,"6,740,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal ",-99.1844038,19.3808483
32,32,150,construidos , 3 recs. ,"6,160,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal ",-99.1844038,19.3808483
33,33,155,construidos , 3 recs. ,"6,550,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal ",-99.1844038,19.3808483
34,34,148,construidos , 3 recs. ,"6,070,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal ",-99.1844038,19.3808483
35,35,111,construidos , 3 recs. ,"6,160,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal ",-99.1844038,19.3808483
36,36,150,construidos , 3 recs. ,"6,150,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal ",-99.1844038,19.3808483
37,37,155,construidos , 3 recs. ,"6,500,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal ",-99.1844038,19.3808483
38,38,155,construidos , 3 recs. ,"6,700,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal ",-99.1844038,19.3808483
39,39,148,construidos , 3 recs. ,"6,050,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal ",-99.1844038,19.3808483
40,40,150,construidos , 3 recs. ,"11,500,000",Casa en venta ," Peten , Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.15243459999999,19.3955931
41,41,550,construidos , 4 recs. ,"17,000,000",Casa en venta ," Dr. Barragán , Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.1475108,19.3953549
42,42,354,construidos , 3 recs. ,"16,900,000",Casa en venta ," Xoco , Benito Juárez , Distrito Federal ",-99.16637310000002,19.362511
43,43,926,construidos , 6 recs. ,"26,000,000",Casa en venta ," Coruña , Alamos , Benito Juárez , Distrito Federal ",-99.14062580000001,19.4019126
44,44,240,construidos , 4 recs. ,"6,450,000",Casa en venta ," Bruno Traven , General Pedro Maria Anaya , Benito Juárez , Distrito Federal ",-99.1602648,19.360642
45,45,253,construidos , 3 recs. ,"12,600,000",Casa en venta ," Miguel Laurent , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1688885,19.3760562
46,46,596,construidos ,,"32,500,000",Casa en venta ," Yosemitte , Nápoles , Benito Juárez , Distrito Federal ",-99.1736422,19.3965487
47,47,490,construidos , 3 recs. ,"29,500,000",Casa en venta ," Insurgentes San Borja , Benito Juárez , Distrito Federal ",-99.17398569999999,19.3834848
48,48,175,construidos , 4 recs. ,"13,000,000",Casa en venta ," Julio Ruelas 51 , San José Insurgentes , Benito Juárez , Distrito Federal ",-99.188057,19.3668658
49,49,310,construidos , 4 recs. ,"14,268,042",Casa en venta ," Amores , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1700027,19.3692955
50,50,320,construidos , 3 recs. ,"14,500,000",Casa en venta ," Adolfo Prieto 110 , Del Valle Norte , Benito Juárez , Distrito Federal ",-99.1656162,19.3991218
51,51,309,construidos , 4 recs. ,"14,270,000",Casa en venta ," Amores , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1700027,19.3692955
52,52,155,construidos , 3 recs. ,"7,100,000",Casa en venta ," Alhambra , Portales Sur , Benito Juárez , Distrito Federal ",-99.14468199999999,19.3625877
