,m2,State,Rooms,Price,Status,Adress
181,219,construidos , 3 recs. ,"12,587,000",Casa en venta ," Providencia , Del Valle Centro , Benito Juárez , Distrito Federal "
182,311,construidos , 3 recs. ,"13,500,000",Casa en venta ," Mayorazgo de Luyando , Del Valle Centro , Benito Juárez , Distrito Federal "
183,200,construidos , 3 recs. ,"3,000,000",Casa en venta ," Calle Balboa 740 , Portales Sur , Benito Juárez , Distrito Federal "
184,300,construidos , 5 recs. ,"9,500,000",Casa en venta ," Matias Romero , Del Valle Centro , Benito Juárez , Distrito Federal "
185,259,construidos , 4 recs. ,"9,800,000",Casa en venta ," Calle 5 16 , San Pedro De Los Pinos , Benito Juárez , Distrito Federal "
186,311,construidos , 5 recs. ,"15,500,000",Casa en venta ," Pestalozii , Narvarte Poniente , Benito Juárez , Distrito Federal "
187,290,construidos , 3 recs. ,"14,000,000",Casa en venta ," Súper Casa en Venta en Letran Valle. La Mejor , Letran Valle , Benito Juárez , Distrito Federal "
188,276,construidos , 3 recs. ,"12,900,000",Casa en venta ," Dallas , Nápoles , Benito Juárez , Distrito Federal "
189,240,construidos , 4 recs. ,"5,850,000",Casa en venta ," Alamos , Benito Juárez , Distrito Federal "
190,188,construidos , 3 recs. ,"6,950,000",Casa en venta ," ANAXAGORAS 0 , Narvarte Poniente , Benito Juárez , Distrito Federal "
191,235,construidos , 3 recs. ,"15,216,609",Casa en venta ," Amores , Del Valle Sur , Benito Juárez , Distrito Federal "
192,235,construidos , 3 recs. ,"15,216,609",Casa en venta ," Amores , Del Valle Sur , Benito Juárez , Distrito Federal "
193,243,construidos , 4 recs. ,"9,800,000",Casa en venta ," Pestalozzi , Narvarte Poniente , Benito Juárez , Distrito Federal "
194,290,construidos , 4 recs. ,"9,980,000",Casa en venta ," Narvarte996 , Narvarte Oriente , Benito Juárez , Distrito Federal "
195,240,construidos , 4 recs. ,"8,800,000",Casa en venta ," Mier y Pesado , Del Valle Norte , Benito Juárez , Distrito Federal "
196,200,construidos , 3 recs. ,"11,000,000",Casa en venta ," FELIX PARRA 176 , San José Insurgentes , Benito Juárez , Distrito Federal "
197,364,construidos , 4 recs. ,"16,000,000",Casa en venta ," Pitágoras , Narvarte Poniente , Benito Juárez , Distrito Federal "
198,301,construidos , 3 recs. ,"10,900,000",Casa en venta ," CERRADA DE XOLA 00 , Colonia Del Valle , Benito Juárez , Distrito Federal "
199,307,construidos , 5 recs. ,"10,700,000",Casa en venta ," Empresa , San Juan , Benito Juárez , Distrito Federal "
